Concurrency,QPS,P50,P99
1,387.34,2.6,3.2
2,782.75,2.5,3.8
3,1186.32,2.5,3.7
6,2182.69,2.7,4.7
9,3034.68,2.9,5.3
12,3723.81,3.1,5.9
15,4221.55,3.4,6.7
18,4537.26,3.8,7.4
21,4673.36,4.3,8.3
24,4712.04,4.9,9.6
27,4727.22,5.4,11.0
30,4715.89,5.8,12.9
33,4743.91,5.9,14.6
36,4744.97,6.3,16.0
39,4704.48,6.8,18.2
42,4747.60,6.9,19.9
45,4722.74,6.1,22.4
48,4753.62,6.3,23.8
51,4749.28,6.1,25.8
54,4720.32,6.4,27.8
57,4748.99,6.2,29.7
60,4733.02,6.4,31.5
63,4784.73,7.0,33.1
66,4747.75,6.1,35.4
69,4747.63,6.0,37.4
72,4738.34,6.3,39.1
75,4730.57,6.4,41.5
78,4746.12,7.0,43.2
81,4749.94,6.2,45.2
84,4735.74,6.8,47.1
87,4747.90,6.4,49.2
90,4721.45,6.4,51.4
93,4733.47,6.4,52.8
96,4748.99,6.4,54.7
99,4735.23,6.6,57.0
102,4732.18,6.9,59.5
105,4720.12,6.7,61.0
108,4717.41,6.7,62.8
111,4751.82,6.3,63.8
114,4744.36,6.6,66.1
117,4752.18,6.7,67.7
120,4745.39,6.6,70.5
